Municipio,2015,2016,2017,2018,2019,2020,2021,2022,2023
Guacarí (Vac),54.864667154352595,45.678786771423354,66.84898207231845,102.43740773101142,74.83909594372099,59.562808982071594,56.281287952842206,64.70588235294119,52.565487836930174
San Onofre (Suc),18.635855385762206,22.629088664883767,32.685746971461256,42.31055950677976,55.530214386291966,21.52262810855231,54.0404917684751,34.386581591716656,34.058012147357665
Campoalegre (Hui),19.625159454420565,25.99766021058105,42.035827459095906,51.468459484672046,48.08462894694662,51.02528940906337,66.42626684380338,65.903028401067,93.4346580291516
Magangué (Bol),11.647680946723508,25.408460247309016,17.532759580128523,13.506415547385009,12.406042472451288,13.556322954422214,13.361556691678564,17.39614501426484,15.157256536566882
Sahagún (Cor),2.883312349226792,0,3.7602113238764017,1.8581143855215727,6.418956094340314,18.143387188954307,15.296711207090475,25.92016588906169,24.870098148065903
Fortul (Ara),35.67606136282554,104.02820320175691,72.56083947309668,147.8508818249023,91.56111704562797,39.70617431010522,67.86562606040042,229.85203275391464,56.84509711037423
Toro (Vac),40.346984062941296,128.80482679140397,89.00451869094893,102.65535176567205,96.77196377963641,104.24629925637639,172.8190239181529,185.31228551818805,122.66593975739403
Calarcá (Qui),46.50179666032552,50.476724621424566,55.60034472213728,45.340258027286595,25.7201646090535,26.705835224996665,18.470631695603988,29.94674687186698,29.533372711163615
La Macarena (Met),16.25685836212152,3.9471087428458653,65.06180871828238,66.9393826701376,79.90121304568896,103.37943818622558,88.37044892188052,59.632383892240775,17.408864593851188
El Bagre (Ant),59.80244571381437,80.82767539605561,23.741690408357076,30.851104855192627,22.673594709494566,27.857222449207,34.74698707046323,64.83565961278704,28.37281883955171
Caicedonia (Vac),98.21186670279057,116.330790022924,107.05898604779665,58.97658282740676,73.40347443112307,59.605203183619096,69.7495989398061,55.403580456387,82.51392422471292
Anorí (Ant),131.1737196304323,50.78147040568753,61.141681952087154,130.99721630915343,42.696269413459994,104.69011725293132,103.07153164296021,101.50223304912708,144.9202938383889
Algeciras (Hui),31.629840495232934,49.538392253996854,4.473672437704111,31.13740491970998,53.33807449551071,106.31229235880399,101.05448154657294,43.590078898042805,121.13346311918667
Fundación (Mag),20.65229478767852,28.20476660555634,18.503669894529082,18.063311908238376,23.296108093941555,24.116553886311728,27.94388867154753,38.7382401770891,20.56653961115529
